M	BL	UR	LOGIC	TP
128	4	1	24487	306.5
128	4	2	25298	199.7
128	4	4	26436	349.4
128	4	8	26436	134.1
128	8	1	24485	478.6
128	8	2	25296	672.8
128	8	4	26170	568.7
128	8	8	28544	465.7
128	16	1	24483	2758.7
128	16	2	25294	1990.0
128	16	4	26168	1971.2
128	16	8	28439	2943.6
128	32	1	24480	1462.3
128	32	2	25291	2143.5
128	32	4	26165	2124.1
128	32	8	28514	1413.9
256	4	1	24485	76.9
256	4	2	25296	97.9
256	4	4	26434	98.1
256	4	8	26434	108.0
256	8	1	24483	178.9
256	8	2	25294	186.0
256	8	4	26168	192.2
256	8	8	28542	136.5
256	16	1	24480	
256	16	2	25291	1295.4
256	16	4	26165	1114.1
256	16	8	28450	1271.5
256	32	1	24478	1242.5
256	32	2	25289	1274.2
256	32	4	26163	1323.2
256	32	8	28494	1241.6
512	4	1	24483	48.1
512	4	2	25294	56.9
512	4	4	26432	47.1
512	4	8	26432	47.9
512	8	1	24480	79.9
512	8	2	25291	74.7
512	8	4	26165	84.3
512	8	8	28539	61.3
512	16	1	24478	375.4
512	16	2	25289	221.7
512	16	4	26163	389.9
512	16	8	28434	357.4
512	32	1	24476	426.2
512	32	2	25287	450.0
512	32	4	26161	416.4
512	32	8	28464	420.7
